Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,B365H,B365D,B365A
E0,Charlton,Middlesbrough,1,0,14,15,7,9,2.2,3.25,3.2
E0,Everton,Portsmouth,1,0,13,5,6,3,1.727,3.4,5
E0,Fulham,Leeds,2,0,19,9,10,6,1.833,3.3,4.333
E0,Man City,Man United,4,1,17,17,11,9,4,3.25,1.909
E0,Southampton,Liverpool,2,0,7,18,3,12,2.875,3.25,2.375
E0,Tottenham,Newcastle,1,0,11,6,4,4,2.5,3.25,2.7
E0,Wolves,Aston Villa,0,4,9,15,1,7,2.7,3.25,2.5
E0,Liverpool,Portsmouth,3,0,20,4,13,4,1.44,4,7.5
E0,Arsenal,Bolton,2,1,11,8,8,2,1.222,5.5,13
E0,Aston Villa,Blackburn,0,2,10,16,7,7,1.8,3.4,4.5
E0,Chelsea,Fulham,2,1,13,5,8,1,1.444,4,7.5
E0,Leicester,Everton,1,1,10,7,4,3,2.5,3.25,2.7
E0,Liverpool,Wolves,1,0,12,8,4,6,1.364,4.333,9
E0,Man United,Tottenham,3,0,11,8,6,3,1.444,4,7.5
E0,Middlesbrough,Birmingham,5,3,13,18,9,12,2.2,3.2,3.25
E0,Newcastle,Charlton,3,1,15,6,10,2,1.727,3.4,5
E0,Portsmouth,Southampton,1,0,16,13,8,8,2.6,3.1,2.7
E0,Leeds,Man City,2,1,4,21,3,14,2.5,3.25,2.7
E0,Birmingham,Leeds,4,1,17,11,7,7,1.833,3.3,4.333
E0,Blackburn,Portsmouth,1,2,14,8,9,4,1.8,3.4,4.333
E0,Charlton,Aston Villa,1,2,11,19,9,11,2.2,3.25,3.2
E0,Chelsea,Wolves,5,2,15,9,10,4,1.25,5,13
E0,Everton,Middlesbrough,1,1,14,10,7,5,2.2,3.25,3.2
E0,Man City,Fulham,0,0,12,5,4,2,2,3.4,3.5
E0,Southampton,Tottenham,1,0,18,15,11,9,2.25,3.2,3.1
E0,Arsenal,Man United,1,1,17,13,10,8,2.1,3.25,3.4
E0,Bolton,Newcastle,1,0,20,15,12,7,2.875,3.25,2.375
E0,Leicester,Liverpool,0,0,13,19,9,12,3.4,3.25,2.1
E0,Fulham,Birmingham,0,0,6,6,5,1,2.25,3.2,3.1
E0,Middlesbrough,Bolton,2,0,10,13,6,8,1.909,3.25,4
E0,Newcastle,Everton,4,2,12,13,8,6,1.615,3.4,6
E0,Tottenham,Chelsea,0,1,12,10,7,7,4,3.25,1.909
E0,Wolves,Southampton,1,4,8,13,3,10,2.5,3.4,2.625
E0,Aston Villa,Man City,1,1,6,7,3,4,1.909,3.3,4
E0,Liverpool,Blackburn,4,0,24,9,11,2,1.615,3.4,6
E0,Leeds,Leicester,3,2,15,14,10,9,2,3.3,3.6
E0,Arsenal,Liverpool,4,2,12,12,7,5,1.909,3.1,4.333
E0,Everton,Tottenham,3,1,13,12,10,7,2.2,3.25,3.2
E0,Birmingham,Man United,1,2,11,10,8,6,4.5,3.3,1.8
E0,Blackburn,Leeds,1,2,9,8,7,3,2.1,3.25,3.4
E0,Bolton,Aston Villa,2,2,16,7,7,3,2.5,3.25,2.7
E0,Charlton,Portsmouth,1,1,9,10,3,8,1.8,3.5,4.2
E0,Chelsea,Middlesbrough,0,0,19,9,9,5,1.364,4.5,8.5
E0,Leicester,Fulham,0,2,10,9,7,4,2.3,3.25,3
E0,Man City,Wolves,3,3,14,15,8,9,1.615,3.6,5.5
E0,Newcastle,Arsenal,0,0,9,11,5,5,3.2,3.25,2.2
E0,Aston Villa,Chelsea,3,2,5,6,3,2,3.5,3.4,2
E0,Fulham,Blackburn,3,4,10,11,7,7,2,3.25,3.75
E0,Liverpool,Charlton,0,1,25,6,16,3,1.615,3.5,6
E0,Middlesbrough,Southampton,3,1,25,16,18,8,2.1,3.25,3.4
E0,Portsmouth,Birmingham,3,1,12,6,6,2,2.375,3.25,2.875
E0,Tottenham,Man City,1,1,15,9,10,8,2.2,3.25,3.2
E0,Wolves,Bolton,1,2,8,13,3,4,2.4,3.4,2.75
E0,Leeds,Everton,1,1,14,8,7,4,2.2,3.3,3.2
E0,Man United,Leicester,1,0,16,12,12,5,1.286,5,10
E0,Arsenal,Leeds,5,0,15,7,8,2,1.333,5,8
E0,Blackburn,Leicester,1,0,12,8,4,4,1.909,3.5,3.75
E0,Bolton,Tottenham,2,0,15,4,10,0,2.25,3.2,3.1
E0,Charlton,Birmingham,1,1,12,7,5,4,2.1,3.25,3.4
E0,Chelsea,Everton,0,0,16,5,6,4,1.444,4,7.5
E0,Liverpool,Fulham,0,0,18,11,10,7,1.615,3.4,6
E0,Man City,Southampton,1,3,15,9,7,5,1.909,3.3,4
E0,Portsmouth,Man United,1,0,9,19,4,12,4.5,3.6,1.727
E0,Wolves,Middlesbrough,2,0,12,16,8,10,2.75,3.4,2.375
E0,Aston Villa,Newcastle,0,0,10,5,1,4,2.375,3.25,2.875
E0,Man United,Charlton,2,0,10,5,6,0,1.4,4.333,7.5
E0,Everton,Blackburn,0,1,16,10,9,7,2.2,3.25,3.2
E0,Fulham,Charlton,2,0,8,8,6,3,2.25,3.3,3
E0,Leicester,Man City,1,1,12,11,5,5,2.5,3.4,2.62
E0,Man United,Liverpool,0,1,11,9,4,4,1.8,3.3,4.5
E0,Middlesbrough,Aston Villa,1,2,31,12,21,9,2.3,3.25,3
E0,Southampton,Bolton,1,2,9,11,3,8,1.9,3.25,4
E0,Birmingham,Wolves,2,2,14,11,9,7,1.61,3.6,5.5
E0,Leeds,Portsmouth,1,2,14,7,6,5,2.1,3.25,3.4
E0,Newcastle,Chelsea,2,1,21,17,12,6,2.7,3.25,2.5
E0,Tottenham,Arsenal,2,2,13,9,7,7,5.5,3.4,1.66
E0,Arsenal,Birmingham,0,0,7,3,1,3,1.36,4.33,9
E0,Blackburn,Man United,1,0,12,9,8,5,3.75,3.5,1.9
E0,Charlton,Leicester,2,2,8,10,7,5,1.8,3.4,4.33
E0,Chelsea,Southampton,4,0,12,5,7,3,1.53,3.6,6.5
E0,Man City,Newcastle,1,0,7,7,3,6,2.62,3.4,2.5
E0,Portsmouth,Fulham,1,1,14,11,7,7,2.2,3.25,3.2
E0,Wolves,Everton,2,1,20,10,11,6,2.5,3.4,2.62
E0,Aston Villa,Tottenham,1,0,11,10,6,5,1.66,3.6,5
E0,Bolton,Leeds,4,1,21,6,14,4,2.25,3.5,2.87
E0,Liverpool,Middlesbrough,2,0,15,12,8,6,1.57,3.5,6.5
E0,Portsmouth,Arsenal,1,1,11,20,6,9,4.5,3.3,1.8
E0,Birmingham,Liverpool,0,3,3,15,2,8,3.4,3.25,2.1
E0,Everton,Bolton,1,2,16,10,9,3,2.25,3.3,3
E0,Leeds,Charlton,3,3,13,12,7,6,2.6,3.25,2.6
E0,Leicester,Portsmouth,3,1,13,14,9,7,2.4,3.4,2.75
E0,Man United,Chelsea,1,1,12,11,7,7,2.25,3.2,3.1
E0,Middlesbrough,Man City,2,1,12,14,7,6,2.1,3.25,3.4
E0,Southampton,Aston Villa,1,1,18,14,10,7,2.87,3.4,2.3
E0,Tottenham,Blackburn,1,0,16,14,13,2,2.3,3.4,2.87
E0,Fulham,Arsenal,0,1,12,7,5,5,3.25,3.4,2.1
E0,Newcastle,Wolves,1,1,19,15,8,7,1.3,5,9
E0,Southampton,Newcastle,3,3,15,22,12,12,2.87,3.6,2.2
E0,Arsenal,Leicester,2,1,17,2,10,1,1.25,5,13
E0,Aston Villa,Man United,0,2,16,12,8,8,2.2,3.4,3
E0,Blackburn,Birmingham,1,1,10,9,5,5,2.1,3.4,3.25
E0,Bolton,Fulham,0,2,17,10,9,6,2,3.2,3.75
E0,Charlton,Southampton,2,1,10,12,5,4,2,3.3,3.6
E0,Chelsea,Leeds,1,0,19,4,9,0,1.33,4.5,9
E0,Liverpool,Newcastle,1,1,8,6,4,5,2,3.3,3.6
E0,Man City,Everton,5,1,13,2,11,0,2.1,3.25,3.4
E0,Portsmouth,Middlesbrough,5,1,16,19,10,4,2.25,3.3,3
E0,Wolves,Tottenham,0,2,18,14,10,12,2.37,3.3,2.8
